,Country,Capital,Coordinates
139,Republika Zielonego Przylądka,Praia,"14°55′N, 23°31′W"
140,Rosja,Moskwa,"55°45′N, 37°37′E"
141,Rumunia,Bukareszt,"44°25′N, 26°06′E"
142,Rwanda,Kigali,"1°57′S, 30°03′E"
143,Saint Kitts i Nevis,Basseterre,"17°18′N, 62°44′W"
144,Saint Lucia,Castries,"14°01′N, 60°59′W"
145,Saint Vincent i Grenadyny,Kingstown,"13°09′39″N, 61°13′34″W"
146,Salwador,San Salvador,"13°41′N, 89°11′W"
147,Samoa,Apia,"13°50′S, 171°45′W"
148,San Marino,San Marino,"43°55′55,24″N, 12°26′54,42″E"
149,Senegal,Dakar,"14°43′12″N, 17°28′48″W"
150,Serbia,Belgrad,"44°48′N, 20°28′E"
151,Seszele,Victoria,"4°37′51″S, 55°27′43″E"
152,Sierra Leone,Freetown,"8°29′N, 13°14′W"
153,Singapur,Singapur,"1°18′N, 103°48′E"
154,Słowacja,Bratysława,"48°08′48,57″N, 17°06′26,06″E"
155,Słowenia,Lublana,"46°03′23″N, 14°30′28″E"
156,Somalia,Mogadiszu,"2°04′N, 45°22′E"
157,Sri Lanka,Sri Dźajawardanapura Kotte,"6°54′N, 79°54′E"
158,Stany Zjednoczone,Waszyngton,"38°53′42″N, 77°02′12″W"
159,Sudan,Chartum,"15°30′N, 32°33′E"
160,Sudan Południowy,Dżuba,"4°51′N, 31°36′E"
161,Surinam,Paramaribo,"5°49′25″N, 55°10′11″W"
162,Syria,Damaszek,"33°31′N, 36°18′E"
163,Szwajcaria,"brak oficjalnej stolicy, siedzibą rządu jest Berno","46,94798°N, 7,44743°E"
164,Szwecja,Sztokholm,"59°20′N, 18°03′E"
165,Tadżykistan,Duszanbe,"38°33′N, 68°48′E"
166,Tajlandia,Bangkok,"13°45′N, 100°31′E"
167,Tanzania,Dodoma,"6°15′S, 35°45′E"
168,Timor Wschodni,Dili,"8°33′31″S, 125°34′25″E"
169,Togo,Lomé,"6°07′55″N, 1°13′22″E"
170,Tonga,Nukuʻalofa,"21°08′S, 175°12′W"
171,Trynidad i Tobago,Port-of-Spain,"10°40′N, 61°31′W"
172,Tunezja,Tunis,"36°50′N, 10°09′E"
173,Turcja,Ankara,"39°56′38″N, 32°51′22″E"
174,Turkmenistan,Aszchabad,"37°58′N, 58°20′E"
175,Tuvalu,Vaiaku,"8°31′16″S, 179°11′54″E"
176,Uganda,Kampala,"0°19′N, 32°35′E"
177,Ukraina,Kijów,"50°27′N, 30°30′E"
178,Urugwaj,Montevideo,"34°53′S, 56°10′W"
179,Uzbekistan,Taszkent,"41°16′N, 69°13′E"
180,Vanuatu,Port Vila,"17°45′S, 168°18′E"
181,Watykan,Watykan,"41°54′14″N, 12°27′11″E"
182,Wenezuela,Caracas,"10°30′N, 66°55′W"
183,Węgry,Budapeszt,"47°30′N, 19°03′E"
184,Wielka Brytania,Londyn,"51°30′N, 0°07′W"
185,Wietnam,Hanoi,"21°02′N, 105°51′E"
186,Włochy,Rzym,"41°53′35″N, 12°28′58″E"
187,Wybrzeże Kości Słoniowej,Jamusukro,"6°50′36″N, 5°17′06″W"
188,Wyspy Marshalla,Majuro,"7°04′N, 171°16′E"
189,Wyspy Salomona,Honiara,"9°26′24″S, 159°57′00″E"
190,Wyspy Świętego Tomasza i Książęca,São Tomé,"0°22′12″N, 6°43′48″E"
191,Zambia,Lusaka,"15°25′S, 28°17′E"
192,Zimbabwe,Harare,"17°49′12″S, 31°03′00″E"
193,Zjednoczone Emiraty Arabskie,Abu Zabi,"24°27′N, 54°23′E"
