,Country,2021 r.,Rate_1,Rate_2,Rate_PKB,Users_rate_avg,Capital,Coordinates,User_coordinates,Distance,Distance_rate,Summary
170,Gabon,8976.0,1.0,1.5,4.671692233414532,1.25,Libreville,"0°23′N, 9°27′E","52°13′56″N, 21°00′30″E",5847.481860308437,3.3472483857737965,9.268940619188328
171,Oman,18299.0,1.0,1.0,4.330692533339185,1.0,Maskat,"23°36′N, 58°32′E","52°13′56″N, 21°00′30″E",4493.118005898806,3.7300502653006316,9.060742798639817
172,Kambodża,1654.0,1.0,2.0,4.939503002904148,1.5,Phnom Penh,"11°33′N, 104°55′E","52°13′56″N, 21°00′30″E",8587.772364305012,2.572723613893584,9.012226616797733
173,Kuwejt,28579.0,1.0,1.0,3.9546894316793586,1.0,Kuwejt,"29°22′30″N, 47°58′48″E","52°13′56″N, 21°00′30″E",3370.0575897330855,4.047475775979093,9.002165207658452
174,Mjanma,1217.0,1.0,1.0,4.955486792342412,1.0,Naypyidaw,"19°45′N, 96°12′E","52°13′56″N, 21°00′30″E",7293.514875083912,2.938536831554716,8.894023623897127
175,Bahamy,28579.0,1.0,3.5,3.9546894316793586,2.25,Nassau,"25°04′N, 77°20′W","52°13′56″N, 21°00′30″E",8383.850894936786,2.630360652489876,8.835050084169236
176,Botswana,7417.0,1.0,2.0,4.728714493675979,1.5,Gaborone,"24°40′S, 25°55′E","52°13′56″N, 21°00′30″E",8531.755632933518,2.588556368130299,8.817270861806279
177,Eswatini,4109.0,1.0,1.5,4.849708487867682,1.25,Mbabane,"26°19′S, 31°08′E","52°13′56″N, 21°00′30″E",8757.019749752093,2.5248869730653434,8.624595460933026
178,Brunei,44809.0,3.0,3.0,3.3610580756541655,3.0,Bandar Seri Begawan,"4°55′N, 114°55′E","52°13′56″N, 21°00′30″E",9845.33756377437,2.2172812263719157,8.57833930202608
179,Salwador,4345.0,1.0,2.0,4.8410765100474755,1.5,San Salvador,"13°41′N, 89°11′W","52°13′56″N, 21°00′30″E",10136.849124320013,2.1348874346907905,8.475963944738266
180,Palau,12187.0,2.0,2.0,4.554246128411643,2.0,Ngerulmud,"7°30′02″N, 134°37′27″E","52°13′56″N, 21°00′30″E",10912.1557742958,1.9157521987244146,8.469998327136057
181,Kiribati,1706.0,2.0,2.0,4.937601041689526,2.0,Bairiki,"1°19′32″N, 172°59′00″E","52°13′56″N, 21°00′30″E",13516.78552685316,1.1795710303447478,8.117172072034274
182,Belize,4177.0,1.0,1.0,4.847221307817792,1.0,Belmopan,"17°16′N, 88°47′W","52°13′56″N, 21°00′30″E",9788.05827145158,2.2334708350119725,8.080692142829765
183,Honduras,2790.0,1.0,1.0,4.897952465600105,1.0,Tegucigalpa,"14°05′39″N, 87°12′24″W","52°13′56″N, 21°00′30″E",9976.086404931186,2.1803259414403033,8.078278407040408
184,Nikaragua,2177.0,1.0,1.0,4.920373662226319,1.0,Managua,"12°08′11,76″N, 86°15′05,03″W","52°13′56″N, 21°00′30″E",10091.391807662874,2.147735641026144,8.068109303252463
185,Nauru,10139.0,1.0,3.0,4.6291541393259745,2.0,Yaren,"0°32′36″S, 166°55′11″E","52°13′56″N, 21°00′30″E",13459.660091486547,1.195717152345811,7.824871291671785
186,Tajwan,33775.0,7.0,9.0,3.7646396149260064,8.0,,,"52°13′56″N, 21°00′30″E",,,
187,Kosowo,5031.0,5.0,6.0,4.815985252485351,5.5,,,"52°13′56″N, 21°00′30″E",,,
188,Afganistan,,,,,,Kabul,"34°32′N, 69°10′E","52°13′56″N, 21°00′30″E",4267.8440811650335,3.793722432507179,
189,Korea Północna,,,,,,Pjongjang,"39°01′N, 125°45′E","52°13′56″N, 21°00′30″E",7567.842032645523,2.8610000963724147,
190,Kuba,,,,,,Hawana,"23°08′12″N, 82°21′32″W","52°13′56″N, 21°00′30″E",8867.23670733219,2.493734887619456,
191,Liban,,,,,,Bejrut,"33°53′N, 35°30′E","52°13′56″N, 21°00′30″E",2345.6590751681438,4.337015160453357,
192,Liechtenstein,,,,,,Vaduz,"47°08′24,0″N, 9°31′17,3″E","52°13′56″N, 21°00′30″E",1002.0911770585772,4.716765635182656,
193,Monako,,,,,,Monako,"43°43′52″N, 7°25′12″E","52°13′56″N, 21°00′30″E",1382.358568082436,4.609285602004902,
194,Syria,,,,,,Damaszek,"33°31′N, 36°18′E","52°13′56″N, 21°00′30″E",2414.4127762466323,4.317582386969644,
195,Watykan,,,,,,Watykan,"41°54′14″N, 12°27′11″E","52°13′56″N, 21°00′30″E",1317.260230204234,4.627685211543146,
